timestamp,age,city,living,household_size,fridge,shopping_freq,food_spend,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,input_method,age_group,living_group,household_group,shopping_group,region,input_type,feature_list,pain_count,need_count,need_strong_count,pain_score,need_score,persona,readiness,core_adopter,feat_reminder,feat_priority,feat_recipe,feat_app_view,feat_camera,feat_savings_report,feat_dup_alert,feat_voice,feat_shopping_list,feat_multi_fridge
2026-09-23 08:14:25,31–40,Bogor,With family,2 people,"Yes, shared fridge",Often,Rp1–2M,4,3,5,3,3,4,4,3,5,5,5,5,5,5,4,4,Smartphone camera scan,31–40,Family household,1–2 people,High,Jabodetabek,Camera-based,Voice assistant; Expiry reminders; Shopping list,6,6,4,4.125,4.428571428571429,Expiry Guardians,"Pain-aware, less convinced",True,1,0,0,0,0,0,0,1,1,0
2026-09-23 08:30:25,41–50,Tangerang,Living alone,1 person,"Yes, private fridge",Often,Rp2–4M,4,4,4,5,3,4,4,4,4,4,4,4,4,5,5,5,Smartphone camera scan,41+,Independent living,1–2 people,High,Jabodetabek,Camera-based,Recipes from available ingredients; View fridge contents in the app; Expiry reminders,8,7,3,4.125,4.428571428571429,Connected Planners,"Pain-aware, less convinced",False,1,0,1,1,0,0,0,0,0,0
2026-09-23 08:52:44,18–22,Bandung,With family,5–6 people,"Yes, private fridge",Almost always,Rp2–4M,4,5,5,3,4,4,5,5,3,5,4,4,4,4,5,4,Smartphone camera scan,≤22,Family household,5+ people,High,Other cities,Camera-based,"Recipes from available ingredients; ""Use-first"" food prioritisation; Expiry reminders",6,7,3,4.125,4.428571428571429,Smart Home Cooks,"Pain-aware, less convinced",False,1,1,1,0,0,0,0,0,0,0
2026-09-23 09:01:37,41–50,Semarang,With family,3–4 people,"Yes, shared fridge",Almost always,Rp4–6M,3,4,3,4,4,4,3,4,4,4,4,3,4,5,4,4,Voice command to FRISA,41+,Family household,3–4 people,High,Other cities,Voice,"Expiry reminders; ""Use-first"" food prioritisation; AI camera food detection",4,7,1,3.5,4.142857142857143,Automation Seekers,Lower priority,False,1,1,0,0,1,0,0,0,0,0
2026-09-23 09:21:56,41–50,Depok,Boarding house / rented room,3–4 people,"Yes, private fridge",Sometimes,Prefer not to say,4,5,4,5,3,5,4,5,4,5,5,4,4,4,5,4,FRISA camera auto-recognition,41+,Independent living,3–4 people,Medium,Jabodetabek,Camera-based,"""Use-first"" food prioritisation; AI camera food detection; Food & money savings report",8,7,4,4.375,4.571428571428571,Automation Seekers,Ready adopters,False,0,1,0,0,1,1,0,0,0,0
2026-09-23 09:29:07,23–30,Jakarta,Boarding house / rented room,1 person,"Yes, shared fridge",Sometimes,Rp4–6M,4,3,4,4,5,5,3,4,4,3,5,4,5,5,5,5,Digital receipt integration,23–30,Independent living,1–2 people,Medium,Jabodetabek,Semi-automatic,Food & money savings report; Recipes from available ingredients; Expiry reminders,6,6,5,3.875,4.571428571428571,Smart Home Cooks,Aspirational adopters,False,1,0,1,0,0,1,0,0,0,0
2026-09-23 09:42:33,18–22,Surabaya,With family,5–6 people,"Yes, shared fridge",Often,Rp2–4M,5,4,5,4,3,4,4,4,4,4,4,5,4,5,5,5,FRISA camera auto-recognition,≤22,Family household,5+ people,High,Other cities,Camera-based,AI camera food detection; Recipes from available ingredients; Expiry reminders,8,7,3,4.375,4.428571428571429,Automation Seekers,"Pain-aware, less convinced",False,1,0,1,0,1,0,0,0,0,0
2026-09-23 09:48:13,18–22,Bekasi,Living alone,1 person,"Yes, private fridge",Almost always,Prefer not to say,3,4,4,3,3,3,4,5,5,5,5,5,4,4,5,5,FRISA camera auto-recognition,≤22,Independent living,1–2 people,High,Jabodetabek,Camera-based,Recipes from available ingredients; Expiry reminders; Voice assistant,5,7,5,3.875,4.714285714285714,Smart Home Cooks,Aspirational adopters,True,1,0,1,0,0,0,0,1,0,0
2026-09-23 10:05:42,50+,Jakarta,With family,3–4 people,"Yes, private fridge",Often,Rp2–4M,4,4,3,5,3,3,5,5,5,4,5,3,5,4,4,5,FRISA camera auto-recognition,41+,Family household,3–4 people,High,Jabodetabek,Camera-based,Recipes from available ingredients; Duplicate-purchase alert; AI camera food detection,5,7,4,4.0,4.571428571428571,Automation Seekers,Ready adopters,True,0,0,1,0,1,0,1,0,0,0
2026-09-23 10:13:59,31–40,Jakarta,Boarding house / rented room,7+ people,"Yes, shared fridge",Often,Rp1–2M,4,4,4,4,3,4,4,5,3,5,4,3,5,5,5,5,Voice command to FRISA,31–40,Independent living,5+ people,High,Jabodetabek,Voice,"Expiry reminders; ""Use-first"" food prioritisation; View fridge contents in the app",6,7,6,3.75,4.857142857142857,Expiry Guardians,Aspirational adopters,True,1,1,0,1,0,0,0,0,0,0
2026-09-23 10:18:01,18–22,Jakarta,Living alone,1 person,"Yes, private fridge",Sometimes,Rp1–2M,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,5,Manual entry in the app,≤22,Independent living,1–2 people,Medium,Jabodetabek,Manual,Voice assistant; View fridge contents in the app; Expiry reminders,7,7,2,4.0,4.285714285714286,Expiry Guardians,"Pain-aware, less convinced",False,1,0,0,1,0,0,0,1,0,0
2026-09-23 10:49:56,18–22,Semarang,With family,5–6 people,"Yes, private fridge",Often,> Rp6M,4,3,4,5,3,4,4,5,5,5,4,4,5,4,4,5,Product barcode scan,≤22,Family household,5+ people,High,Other cities,Semi-automatic,Recipes from available ingredients; Duplicate-purchase alert; AI camera food detection,7,7,4,4.125,4.571428571428571,Automation Seekers,Ready adopters,True,0,0,1,0,1,0,1,0,0,0
2026-09-23 11:14:46,23–30,Jakarta,Boarding house / rented room,3–4 people,"Yes, shared fridge",Often,Rp1–2M,4,5,4,4,4,4,5,5,4,5,5,5,4,5,4,5,Digital receipt integration,23–30,Independent living,3–4 people,High,Jabodetabek,Semi-automatic,AI camera food detection; View fridge contents in the app; Expiry reminders,8,7,5,4.375,4.714285714285714,Automation Seekers,Ready adopters,True,1,0,0,1,1,0,0,0,0,0
2026-09-23 11:27:02,31–40,Bekasi,Boarding house / rented room,3–4 people,"Yes, private fridge",Sometimes,Rp1–2M,4,4,5,4,4,3,4,5,4,5,4,3,5,5,4,5,Digital receipt integration,31–40,Independent living,3–4 people,Medium,Jabodetabek,Semi-automatic,Recipes from available ingredients; View fridge contents in the app; AI camera food detection,6,7,5,3.875,4.714285714285714,Connected Planners,Aspirational adopters,False,0,0,1,1,1,0,0,0,0,0
2026-09-23 11:45:52,50+,Jakarta,With family,3–4 people,"Yes, private fridge",Rarely,Rp4–6M,4,3,4,4,4,3,4,5,4,5,5,5,4,4,4,4,Product barcode scan,41+,Family household,3–4 people,Low,Jabodetabek,Semi-automatic,Expiry reminders; Recipes from available ingredients; View fridge contents in the app,6,7,3,3.875,4.428571428571429,Connected Planners,Lower priority,False,1,0,1,1,0,0,0,0,0,0
2026-09-23 11:54:06,23–30,Tangerang,With family,5–6 people,"Yes, private fridge",Almost always,Rp2–4M,4,4,4,3,3,5,5,4,4,5,4,3,5,4,4,5,Digital receipt integration,23–30,Family household,5+ people,High,Jabodetabek,Semi-automatic,"Expiry reminders; Recipes from available ingredients; ""Use-first"" food prioritisation",6,7,3,4.0,4.428571428571429,Smart Home Cooks,"Pain-aware, less convinced",False,1,1,1,0,0,0,0,0,0,0
2026-09-23 11:56:01,18–22,Bandung,With family,3–4 people,"Yes, private fridge",Often,> Rp6M,4,3,3,4,3,3,3,4,3,4,3,3,5,5,4,5,FRISA camera auto-recognition,≤22,Family household,3–4 people,High,Other cities,Camera-based,"""Use-first"" food prioritisation; AI camera food detection; Food & money savings report",2,6,3,3.25,4.285714285714286,Automation Seekers,Lower priority,False,0,1,0,0,1,1,0,0,0,0
2026-09-23 12:57:03,18–22,Jakarta,With family,5–6 people,"Yes, private fridge",Almost always,Rp1–2M,3,4,5,4,3,5,3,5,4,5,5,4,4,5,4,4,FRISA camera auto-recognition,≤22,Family household,5+ people,High,Jabodetabek,Camera-based,Recipes from available ingredients; Expiry reminders; View fridge contents in the app,6,7,4,4.0,4.571428571428571,Connected Planners,Ready adopters,True,1,0,1,1,0,0,0,0,0,0
2026-09-23 13:00:50,41–50,Tangerang,With family,5–6 people,"Yes, private fridge",Almost always,Rp4–6M,4,4,4,3,5,3,4,5,3,4,5,5,4,5,5,5,Smartphone camera scan,41+,Family household,5+ people,High,Jabodetabek,Camera-based,Expiry reminders; View fridge contents in the app; Recipes from available ingredients,5,7,5,3.75,4.714285714285714,Connected Planners,Aspirational adopters,True,1,0,1,1,0,0,0,0,0,0
2026-09-23 13:03:15,18–22,Bandung,With family,3–4 people,"Yes, shared fridge",Often,Rp4–6M,4,5,4,5,4,5,5,4,4,4,4,3,4,5,5,5,Digital receipt integration,≤22,Family household,3–4 people,High,Other cities,Semi-automatic,AI camera food detection; View fridge contents in the app; Expiry reminders,7,7,3,4.375,4.428571428571429,Automation Seekers,"Pain-aware, less convinced",False,1,0,0,1,1,0,0,0,0,0
2026-09-23 13:04:54,31–40,Jakarta,Boarding house / rented room,2 people,"Yes, private fridge",Often,Rp2–4M,5,5,4,5,3,5,5,4,5,5,5,4,4,4,5,5,Digital receipt integration,31–40,Independent living,1–2 people,High,Jabodetabek,Semi-automatic,Recipes from available ingredients; View fridge contents in the app; Expiry reminders,8,7,4,4.75,4.571428571428571,Connected Planners,Ready adopters,True,1,0,1,1,0,0,0,0,0,0
