Timestamp,Usia,Domisili,Status Tempat Tinggal,Berapa jumlah orang dalam tempat tinggal Anda? ,Apakah tempat tinggal Anda memiliki kulkas? ,Seberapa sering Anda terlibat dalam membeli kebutuhan makanan rumah tangga? ,Kisaran pengeluaran rumah tangga untuk makanan dalam satu bulan ,Saya pernah lupa bahwa masih ada makanan tertentu di dalam kulkas.  ,Saya baru menyadari masih memiliki suatu bahan makanan setelah membeli produk yang sama. ,Saya pernah menemukan makanan di kulkas yang sudah kedaluwarsa atau tidak layak dikonsumsi. ,Saya memiliki bahan makanan di kulkas tetapi bingung harus mengolahnya menjadi makanan apa. ,"Sebelum berbelanja, saya selalu mengecek makanan yang masih tersedia di rumah. ",Saya pernah membeli makanan terlalu banyak hingga sebagian akhirnya tidak dikonsumsi. ,Saya kesulitan mengetahui seluruh isi kulkas tanpa mengeceknya satu per satu. ,Saya ingin dapat mengecek isi kulkas dari luar rumah tanpa harus melihatnya secara langsung. ,Saya sering kesulitan mengingat tanggal kedaluwarsa makanan yang disimpan di kulkas. ,Saya membutuhkan pengingat ketika makanan sudah mendekati tanggal kedaluwarsa. ,Akan membantu jika makanan di kulkas dapat otomatis diurutkan berdasarkan mana yang perlu digunakan terlebih dahulu. ,Keputusan saya memilih menu makanan belum selalu mempertimbangkan bahan yang sudah tersedia di rumah. ,Saya tertarik mendapatkan rekomendasi resep berdasarkan bahan yang sudah tersedia di kulkas. ,Saya akan lebih tertarik menggunakan suatu resep jika resep tersebut membantu menghabiskan bahan yang hampir kedaluwarsa. ,Mengetahui nilai uang dari makanan yang terbuang akan membuat saya lebih berhati-hati dalam membeli dan menggunakan makanan. ,Saya tertarik melihat laporan mengenai jumlah makanan dan uang yang berhasil saya hemat setiap bulan. ,Fitur FRISA mana yang paling berguna bagi Anda? Pilih maksimal 3.,Bagaimana cara yang paling nyaman bagi Anda untuk memasukkan makanan ke sistem FRISA? 
23/09/2026 08:14:25,31–40 tahun,Bogor,Tinggal bersama keluarga,2 orang,"Ya, kulkas bersama",Sering,Rp1.000.000–Rp2.000.000,4,3,5,3,3,4,4,3,5,5,5,5,5,5,4,4,"Voice Assistant, Pengingat makanan mendekati kedaluwarsa, Shopping List",Scan melalui kamera smartphone
23/09/2026 08:30:25,41–50 tahun,Tangerang,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,4,5,3,4,4,4,4,4,4,4,4,5,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Scan melalui kamera smartphone
23/09/2026 08:52:44,18–22 tahun,Bandung,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,4,5,5,3,4,4,5,5,3,5,4,4,4,4,5,4,"Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Scan melalui kamera smartphone
23/09/2026 09:01:37,41–50 tahun,Semarang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas bersama",Hampir selalu,Rp4.000.001–Rp6.000.000,3,4,3,4,4,4,3,4,4,4,4,3,4,5,4,4,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera",Perintah suara ke FRISA
23/09/2026 09:21:56,41–50 tahun,Depok,Kost / kontrakan,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Tidak tahu / tidak ingin menjawab,4,5,4,5,3,5,4,5,4,5,5,4,4,4,5,4,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Laporan makanan dan uang yang berhasil dihemat",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 09:29:07,23–30 tahun,Jakarta,Kost / kontrakan,1 orang,"Ya, kulkas bersama",Kadang-kadang,Rp4.000.001–Rp6.000.000,4,3,4,4,5,5,3,4,4,3,5,4,5,5,5,5,"Laporan makanan dan uang yang berhasil dihemat, Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa",Integrasi struk belanja / digital receipt
23/09/2026 09:42:33,18–22 tahun,Surabaya,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas bersama",Sering,Rp2.000.001–Rp4.000.000,5,4,5,4,3,4,4,4,4,4,4,5,4,5,5,5,"Deteksi makanan melalui kamera, Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 09:48:13,18–22 tahun,Bekasi,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Hampir selalu,Tidak tahu / tidak ingin menjawab,3,4,4,3,3,3,4,5,5,5,5,5,4,4,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Voice Assistant",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 10:05:42,>50 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,3,5,3,3,5,5,5,4,5,3,5,4,4,5,"Rekomendasi resep berdasarkan bahan tersedia, Peringatan pembelian barang yang sudah tersedia, Deteksi makanan melalui kamera",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 10:13:59,31–40 tahun,Jakarta,Kost / kontrakan,>6 orang,"Ya, kulkas bersama",Sering,Rp1.000.000–Rp2.000.000,4,4,4,4,3,4,4,5,3,5,4,3,5,5,5,5,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi",Perintah suara ke FRISA
23/09/2026 10:18:01,18–22 tahun,Jakarta,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,5,"Voice Assistant, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Input secara manual melalui aplikasi
